LTI,Observation.related.to,Type.of.Activity,Observation.Category,Reason.for.Deviation,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Engineering & Project,Contractor,Others,Uneasiness,Procedure Not Adequate,Fri,May,Skidding,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Behaviour,SAF,Topic 7,Low,First Aid
Corporate Services,Employee,Others,Gas Safety,Procedure Not Followed,Tue,May,Road Incident,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SNR,Topic 2,Low,First Aid
Steel Manufacturing,Employee,Others,PPE,Procedure Not Followed,Mon,May,Road Incident,Not Applicable,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 4,Low,First Aid
Corporate Services,Employee,Maintenance,Not Followed,Procedure Not Followed,Mon,May,Medical Ailment,Single Working,M/C Working,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Operations,PPE,Procedure Not Followed,Thu,May,Medical Ailment,Single Working,M/C Working,Unsafe Condition,Tools & Equipment,Process,SANF,Topic 4,Medium,First Aid
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Followed,Thu,June,Crane Dashing,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Process,SIF,Topic 4,Medium,Medical case
Steel Manufacturing,Contractor,Others,PPE,Procedure Not Followed,Mon,June,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SINF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Others,Material Handling,Procedure Not Followed,Fri,June,Road Incident,Not Applicable,M/C Idle,Unsafe Act by Other,Orderliness,Behaviour,SANF,Topic 3,High,Medical case
Shared Services,Employee,Operations,Not Followed,Procedure Not Followed,Sat,June,Material Handling,Single Working,Not Applicable,Unsafe Act by Other,Barricading,Behaviour,SAF,Topic 5,Medium,Medical case
Corporate Services,Contractor,Operations,Environment,Procedure Not Followed,Fri,June,Hydraulic/Pneumatic,Group Working,M/C Working,Unsafe Condition,Orderliness,Behaviour,SIF,Topic 4,Low,First Aid
Corporate Services,Contractor,Operations,Environment,Procedure Not Followed,Fri,June,Run Over,Group Working,M/C Working,Unsafe Condition,Barricading,Behaviour,SNNR,Topic 4,Low,First Aid
 TQM & Steel Business ,Employee,Others,Road Safety,Procedure Not Existing,Sat,June,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act by Other,Orderliness,Behaviour,SANF,Topic 3,Low,First Aid
 TQM & Steel Business ,Contractor,Others,Electrical Safety,Procedure Not Adequate,Sat,June,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Material Handling,Behaviour,SIF,Topic 4,Medium,First Aid
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Followed,Sun,June,Hydraulic/Pneumatic,Not Applicable,M/C Idle,Unsafe Act,"Others,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Employee,Others,PPE,Procedure Not Followed,Fri,June,Run Over,Group Working,Not Applicable,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 4,High,First Aid
Corporate Services,Employee,Operations,Others,Procedure Not Adequate,Wed,June,Lifting Tools Tackles,Single Working,Not Applicable,Unsafe Condition,Workplace Safety,Behaviour,SAF,Topic 2,Low,First Aid
Engineering & Project,Contractor,Others,Fire Safety,Procedure Not Followed,Tue,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Condition,Gas Cutting & Welding,Process,SANF,Topic 9,High,First Aid
Corporate Services,Employee,Operations,Falling,Procedure Not Existing,Tue,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Process Safety,Process,SINF,Topic 2,Low,Medical case
Steel Manufacturing,Employee,Others,Not Maintained,Procedure Not Followed,Mon,July,Material Handling,Single Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Employee,Others,Environment,Procedure Not Followed,Mon,July,Road Incident,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Sun,July,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SAF,Topic 9,Low,First Aid
Shared Services,Employee,Maintenance,Electrical Safety,Procedure Not Followed,Thu,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 3,Low,Medical case
Corporate Services,Employee,Others,Road Safety,Procedure Not Followed,Wed,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Others,PPE,Procedure Not Followed,Wed,July,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Others,Process Safety,Procedure Not Adequate,Fri,July,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Steel Manufacturing,Employee,Operations,Orderliness,Procedure Not Followed,Wed,July,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Shared Services,Employee,Others,Environment,Procedure Not Followed,Sun,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 3,Low,First Aid
Steel Manufacturing,Employee,Others,Not Followed,Procedure Not Adequate,Wed,August,Gas Leakage,Single Working,M/C Idle,Unsafe Condition,PPE,Behaviour,SIF,Topic 3,Low,First Aid
Corporate Services,Employee,Operations,Falling,Procedure Not Followed,Tue,August,Energy Isolation,Single Working,M/C Working,Unsafe Act,Fire Safety,Process,SANF,Topic 2,Low,First Aid
Steel Manufacturing,Employee,Others,Gas Safety,Procedure Not Followed,Fri,August,Process Incidents,Group Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SINF,Topic 2,Low,First Aid
Steel Manufacturing,Employee,Others,Material Handling,Procedure Not Followed,Wed,August,Hydraulic/Pneumatic,Single Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Others,Not Followed,Procedure Not Followed,Thu,August,Process Incidents,Single Working,M/C Idle,Unsafe Act,Process Safety,Process,SNR,Topic 6,Low,First Aid
Steel Manufacturing,Contractor,Others,Gas Safety,Procedure Not Followed,Tue,August,Process Incidents,Group Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SINF,Topic 2,Low,First Aid
Corporate Services,Contractor,Operations,Orderliness,Procedure Not Followed,Mon,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Workplace Safety,Process,SINF,Topic 2,Low,First Aid
 TQM & Steel Business ,Employee,Others,Excavation,Procedure Not Followed,Mon,August,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SAF,Topic 7,Low,First Aid
Engineering & Project,Employee,Others,Barricading,Procedure Not Followed,Tue,February,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SANF,Topic 4,Low,First Aid
Engineering & Project,Employee,Maintenance,Not Followed,Procedure Not Followed,Fri,February,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SIF,Topic 9,High,Medical case
Raw Materials,Contractor,Others,Environment,Procedure Not Followed,Sun,March,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Workplace Safety,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Contractor,Others,Environment,Procedure Not Followed,Sun,March,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SIF,Topic 4,Low,First Aid
Engineering & Project,Employee,Others,Process Safety,Procedure Not Existing,Wed,March,Structural Integrity,Not Applicable,M/C Idle,Unsafe Condition,Gas Cutting & Welding,Behaviour,SIF,Topic 3,Low,First Aid
Steel Manufacturing,Employee,Operations,Orderliness,Procedure Not Followed,Thu,March,Road Incident,Single Working,M/C Idle,Unsafe Act,Orderliness,Behaviour,SANF,Topic 7,Low,First Aid
Bearing Division,Employee,Others,Eyes & Face,Procedure Not Followed,Thu,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Tools & Equipment,Process,SIF,Topic 2,High,First Aid
Corporate Services,Employee,Maintenance,Not Maintained,Procedure Not Adequate,Thu,April,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Shared Services,Employee,Others,Process Safety,Procedure Not Followed,Mon,April,Road Incident,Single Working,M/C Idle,Unsafe Condition,Tools & Equipment,Process,SIF,Topic 7,Low,First Aid
 TQM & Steel Business ,Employee,Maintenance,Others,Procedure Not Existing,Fri,April,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 7,Medium,First Aid
Raw Materials,Employee,Others,Road Safety,Procedure Not Followed,Fri,April,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Workplace Safety,Process,SINF,Topic 6,Low,First Aid
Raw Materials,Employee,Maintenance,Road Safety,Procedure Not Followed,Thu,April,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Excavation,Behaviour,SANF,Topic 6,Low,First Aid
Others,Employee,Others,Others,Procedure Not Followed,Wed,May,Process Incidents,Not Applicable,M/C Idle,Unsafe Condition,Excavation,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Others,Process Safety,Procedure Not Followed,Fri,May,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SNR,Topic 7,Low,First Aid
Engineering & Project,Employee,Operations,PPE,Procedure Not Adequate,Sun,June,Material Handling,Group Working,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SAF,Topic 1,High,First Aid
Steel Manufacturing,Employee,Others,Process Safety,Procedure Not Followed,Sat,June,Road Incident,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SINF,Topic 1,Low,First Aid
Corporate Services,Employee,Maintenance,Handrail,Procedure Not Followed,Mon,June,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Contractor,Operations,Others,Procedure Not Followed,Tue,July,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Workplace Safety,Process,SINF,Topic 9,High,Medical case
Steel Manufacturing,Employee,Others,Others,Procedure Not Followed,Mon,July,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SNR,Topic 4,Medium,First Aid
Steel Manufacturing,Employee,Others,Not Understood,Procedure Not Followed,Wed,August,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,Orderliness,Behaviour,SNNR,Topic 3,High,Medical case
Engineering & Project,Employee,Others,Excavation,Procedure Not Followed,Mon,August,Dashing/Collision,Group Working,Not Applicable,Unsafe Act by Other,Process Safety,Process,SIF,Topic 6,High,First Aid
Others,Employee,Others,Others,Procedure Not Followed,Wed,August,Road Incident,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 9,Low,First Aid
Raw Materials,Employee,Others,Others,Procedure Not Followed,Tue,August,Run Over,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SINF,Topic 7,High,First Aid
Engineering & Project,Contractor,Others,Gas Safety,Procedure Not Followed,Sat,August,Process Incidents,Group Working,Not Applicable,Unsafe Act,PPE,Behaviour,SIF,Topic 6,Low,First Aid
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Adequate,Wed,September,Road Incident,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Contractor,Others,Barricading,Procedure Not Followed,Fri,September,Road Incident,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Workplace Safety,Behaviour,SIF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Others,Process Safety,Procedure Not Adequate,Thu,September,Material Handling,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Maintenance,Environment,Procedure Not Followed,Tue,November,Material Handling,Group Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Employee,Others,Process Safety,Procedure Not Followed,Sat,December,Process Incidents,Group Working,Not Applicable,Unsafe Act by Other,Others,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Employee,Maintenance,Not Understood,Procedure Not Followed,Fri,December,Road Incident,Single Working,M/C Idle,Unsafe Condition,Others,Behaviour,SNR,Topic 6,Medium,First Aid
Engineering & Project,Employee,Others,Uneasiness,Procedure Not Existing,Sat,December,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,Excavation,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Employee,Others,Not Followed,Procedure Not Existing,Thu,January,Process Incidents,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SAF,Topic 4,High,First Aid
Engineering & Project,Employee,Operations,Material Handling,Procedure Not Existing,Sun,February,Road Incident,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Process,SINF,Topic 7,Low,First Aid
Engineering & Project,Employee,Others,Not Maintained,Procedure Not Followed,Wed,April,Road Incident,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 7,Low,First Aid
Engineering & Project,Employee,Others,Health,Procedure Not Followed,Tue,May,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Orderliness,Process,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Others,Falling,Procedure Not Existing,Sat,May,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 6,Medium,Medical case
Engineering & Project,Employee,Maintenance,Others,Procedure Not Followed,Tue,June,Road Incident,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Employee,Others,Material Handling,Procedure Not Adequate,Tue,June,Road Incident,Single Working,M/C Working,Unsafe Act & Unsafe Condition,"Others,Process Safety",Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Others,Material Handling,Procedure Not Followed,Tue,June,Run Over,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Engineering & Project,Contractor,Others,Not Followed,Procedure Not Followed,Fri,June,Lifting Tools Tackles,Group Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Existing,Fri,July,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,"Others,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Others,Not Maintained,Procedure Not Existing,Sat,July,Process Incidents,Group Working,M/C Working,Unsafe Act by Other,Barricading,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Others,Not Followed,Procedure Not Existing,Sat,July,Process Incidents,Group Working,Not Applicable,Unsafe Condition,Others,Behaviour,SNR,Topic 4,High,Medical case
Shared Services,Employee,Others,Uneasiness,Procedure Not Existing,Wed,August,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,"Others,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Bearing Division,Employee,Others,Environment,Procedure Not Followed,Thu,October,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,PPE,Process,SANF,Topic 3,Low,First Aid
Bearing Division,Employee,Others,Environment,Procedure Not Existing,Thu,October,Road Incident,Single Working,M/C Working,Unsafe Act,PPE,Process,SANF,Topic 3,Low,First Aid
Others,Employee,Others,Road Safety,Procedure Not Followed,Wed,December,Material Handling,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Contractor,Others,Road Safety,Procedure Not Followed,Sun,January,Material Handling,Group Working,Not Applicable,Unsafe Condition,"Others,Process Safety",Process,SAF,Topic 6,Medium,Medical case
Steel Manufacturing,Contractor,Others,Material Handling,Procedure Not Existing,Fri,January,Material Handling,Single Working,M/C Idle,Unsafe Act,Workplace Safety,Behaviour,SNR,Topic 9,Medium,LTI
Raw Materials,Employee,Others,Mines Safety,Procedure Not Followed,Mon,February,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act by Other,Excavation,Behaviour,SINF,Topic 8,Low,Medical case
Steel Manufacturing,Employee,Others,Not Maintained,Procedure Not Followed,Wed,February,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Mines Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Others,PPE,Procedure Not Existing,Tue,March,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act by Other,Excavation,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Mines Safety,Procedure Not Existing,Mon,March,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Fire Safety,Process,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Operations,Not Maintained,Procedure Not Followed,Tue,April,Road Incident,Single Working,M/C Working,Unsafe Condition,Orderliness,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Others,Mines Safety,Procedure Not Followed,Tue,April,Material Handling,Group Working,Not Applicable,Unsafe Condition,Workplace Safety,Process,SANF,Topic 8,Low,First Aid
Engineering & Project,Employee,Others,Not Followed,Procedure Not Adequate,Sun,April,Dashing/Collision,Single Working,M/C Idle,Unsafe Condition,PPE,Process,SIF,Topic 6,Low,First Aid
Raw Materials,Employee,Others,Others,Procedure Not Followed,Sun,April,Road Incident,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SINF,Topic 7,Low,Medical case
Raw Materials,Employee,Operations,Health,Procedure Not Followed,Wed,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Workplace Safety,Process,SNR,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Others,Electrical Safety,Procedure Not Followed,Fri,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Errection & Commissioning,Others,Procedure Not Adequate,Sat,May,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act,Workplace Safety,Behaviour,SIF,Topic 1,High,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Thu,May,Process Incidents,Group Working,M/C Working,Unsafe Act,Orderliness,Process,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Contractor,Operations,Others,Procedure Not Followed,Wed,May,Material Handling,Group Working,M/C Working,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 2,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Fri,June,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,"Others,Process Safety",Behaviour,SNR,Topic 8,Low,First Aid
Engineering & Project,Contractor,Others,Not Followed,Procedure Not Followed,Fri,July,Process Incidents,Group Working,Not Applicable,Unsafe Act by Other,Workplace Safety,Behaviour,SINF,Topic 1,High,Medical case
Shared Services,Employee,Others,PPE,Procedure Not Followed,Tue,July,Rail,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNR,Topic 3,Medium,Medical case
Raw Materials,Employee,Others,Process Safety,Procedure Not Followed,Wed,August,Workplace Safety,Single Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 5,Low,First Aid
Engineering & Project,Employee,Operations,Not Followed,Procedure Not Followed,Tue,August,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,Orderliness,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Employee,Maintenance,Fire Safety,Procedure Not Existing,Thu,September,Process Incidents,Single Working,M/C Working,Unsafe Act,Workplace Safety,Process,SINF,Topic 2,Low,Medical case
Raw Materials,Contractor,Maintenance,Process Safety,Procedure Not Followed,Mon,September,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 2,High,Medical case
Steel Manufacturing,Employee,Others,Others,Procedure Not Adequate,Mon,November,Road Incident,Single Working,Not Applicable,Unsafe Condition,PPE,Behaviour,SIF,Topic 3,High,Medical case
Shared Services,Employee,Maintenance,Eyes & Face,Procedure Not Followed,Sat,December,Slip/Trip/Fall,Not Applicable,M/C Working,Unsafe Act by Other,Process Safety,Behaviour,SANF,Topic 3,Medium,Medical case
Shared Services,Contractor,Maintenance,Road Safety,Procedure Not Followed,Fri,December,Road Incident,Group Working,M/C Working,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Contractor,Others,Electrical Safety,Procedure Not Followed,Wed,December,Material Handling,Group Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SANF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Others,Health,Procedure Not Followed,Sat,December,Road Incident,Single Working,M/C Idle,Unsafe Act,Electrical Safety,Behaviour,SIF,Topic 3,Low,First Aid
Raw Materials,Employee,Maintenance,Material Handling,Procedure Not Followed,Sun,December,Skidding,Group Working,M/C Idle,Unsafe Act by Other,Material Handling,Behaviour,SNR,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Operations,Gas Safety,Procedure Not Followed,Sat,December,Hot Metals,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Tools & Equipment,Process,SNR,Topic 2,Low,First Aid
Engineering & Project,Contractor,Construction,Not Maintained,Procedure Not Followed,Sat,January,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SIF,Topic 1,High,Medical case
Engineering & Project,Contractor,Construction,Not Understood,Procedure Not Adequate,Tue,February,Material Handling,Group Working,M/C Idle,Unsafe Condition,Material Handling,Behaviour,SIF,Topic 1,Low,First Aid
Shared Services,Employee,Maintenance,Not Followed,Procedure Not Existing,Sat,February,Material Handling,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SINF,Topic 6,High,Medical case
Shared Services,Employee,Others,Eyes & Face,Procedure Not Followed,Mon,February,Material Handling,Not Applicable,M/C Working,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Contractor,Others,Barricading,Procedure Not Adequate,Sat,February,Road Incident,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 6,High,LTI
Shared Services,Contractor,Others,Barricading,Procedure Not Followed,Fri,February,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SIF,Topic 7,High,First Aid
Engineering & Project,Contractor,Construction,Gas Safety,Procedure Not Followed,Wed,February,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Workplace Safety,Behaviour,SANF,Topic 9,Low,First Aid
Engineering & Project,Contractor,Others,Others,Procedure Not Adequate,Wed,February,Road Incident,Single Working,Not Applicable,Unsafe Act,Mines Safety,Behaviour,SNNR,Topic 3,High,First Aid
Engineering & Project,Contractor,Others,Not Followed,Procedure Not Followed,Tue,March,Process Incidents,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SAF,Topic 3,High,First Aid
Engineering & Project,Employee,Construction,Orderliness,Procedure Not Followed,Mon,March,Material Handling,Group Working,M/C Idle,Unsafe Act by Other,Workplace Safety,Behaviour,SINF,Topic 1,Low,Medical case
Engineering & Project,Contractor,Construction,Barricading,Procedure Not Followed,Mon,March,Material Handling,Group Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SIF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Others,Not Maintained,Procedure Not Followed,Sun,March,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 2,Low,First Aid
Engineering & Project,Employee,Operations,Orderliness,Procedure Not Followed,Thu,March,Skidding,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Engineering & Project,Contractor,Others,Barricading,Procedure Not Followed,Wed,March,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Medium,LTI
Shared Services,Contractor,Others,Environment,Procedure Not Followed,Mon,April,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,PPE,Process,SINF,Topic 6,Low,First Aid
Engineering & Project,Employee,Others,Handrail,Procedure Not Followed,Wed,April,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act by Other,Orderliness,Behaviour,SAF,Topic 6,High,First Aid
Shared Services,Employee,Operations,Not Maintained,Procedure Not Followed,Tue,April,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Condition,Material Handling,Behaviour,SAF,Topic 7,Low,First Aid
Shared Services,Contractor,Maintenance,Orderliness,Procedure Not Followed,Mon,April,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 6,Low,First Aid
Shared Services,Employee,Others,Not Followed,Procedure Not Followed,Sat,April,Road Incident,Group Working,M/C Working,Unsafe Act,Workplace Safety,Behaviour,SINF,Topic 6,High,First Aid
Shared Services,Contractor,Maintenance,Electrical Safety,Procedure Not Followed,Mon,April,Process Incidents,Group Working,M/C Idle,Unsafe Act,Excavation,Process,SANF,Topic 7,Low,First Aid
Engineering & Project,Contractor,Others,Uneasiness,Procedure Not Followed,Tue,May,Process Incidents,Single Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SNR,Topic 1,Low,First Aid
Shared Services,Contractor,Others,Others,Procedure Not Adequate,Tue,May,Process Incidents,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SIF,Topic 9,High,First Aid
Shared Services,Employee,Others,Others,Procedure Not Followed,Mon,May,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Others,Not Maintained,Procedure Not Adequate,Thu,May,Hot Metals,Group Working,Not Applicable,Unsafe Condition,Others,Behaviour,SAF,Topic 9,Low,First Aid
Shared Services,Employee,Maintenance,Health,Procedure Not Adequate,Wed,May,Material Handling,Single Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SAF,Topic 9,High,First Aid
Engineering & Project,Employee,Others,Uneasiness,Procedure Not Followed,Fri,May,Lifting Tools Tackles,Single Working,Not Applicable,Unsafe Condition,Others,Behaviour,SAF,Topic 9,Medium,Medical case
Engineering & Project,Contractor,Others,Others,Procedure Not Adequate,Mon,May,Road Incident,Single Working,M/C Working,Unsafe Act,"Others,Process Safety",Behaviour,SIF,Topic 3,High,Medical case
Raw Materials,Contractor,Others,Handrail,Procedure Not Followed,Mon,May,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 1,Medium,Medical case
Shared Services,Contractor,Maintenance,Electrical Safety,Procedure Not Adequate,Sun,May,Material Handling,Group Working,M/C Idle,Unsafe Condition,Barricading,Behaviour,SIF,Topic 1,Low,First Aid
Orissa Projects,Contractor,Construction,PPE,Procedure Not Followed,Fri,May,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 4,Low,First Aid
Shared Services,Employee,Maintenance,Electrical Safety,Procedure Not Followed,Wed,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 3,Low,First Aid
