Division,Observation.related.to,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Shared Services,Employee,Mon,April,Road Incident,Single Working,M/C Idle,Unsafe Condition,Tools & Equipment,Process,SIF,Topic 7,Low,First Aid
 TQM & Steel Business ,Employee,Fri,April,Process Incidents,Single Working,M/C Idle,Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 7,Medium,First Aid
Raw Materials,Employee,Fri,April,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Working at Height,Process,SINF,Topic 6,Low,First Aid
Raw Materials,Employee,Thu,April,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Excavation,Behaviour,SANF,Topic 6,Low,First Aid
Others,Employee,Wed,May,Process Incidents,Not Applicable,M/C Idle,Unsafe Condition,Excavation,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Fri,May,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SNR,Topic 7,Low,First Aid
Engineering & Project,Employee,Sun,June,Material Handling,Group Working,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SAF,Topic 1,High,First Aid
Steel Manufacturing,Employee,Sat,June,Road Incident,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SINF,Topic 1,Low,First Aid
Corporate Services,Employee,Mon,June,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Orderliness,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Contractor,Tue,July,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Working at Height,Process,SINF,Topic 9,High,Medical case
Steel Manufacturing,Employee,Mon,July,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SNR,Topic 4,Medium,First Aid
Steel Manufacturing,Employee,Wed,August,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,Orderliness,Behaviour,SNNR,Topic 3,High,Medical case
Engineering & Project,Employee,Mon,August,Dashing/Collision,Group Working,Not Applicable,Unsafe Act by Other,Process Safety,Process,SIF,Topic 6,High,First Aid
Others,Employee,Wed,August,Road Incident,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 9,Low,First Aid
Raw Materials,Employee,Tue,August,Run Over,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SINF,Topic 7,High,First Aid
Engineering & Project,Contractor,Sat,August,Process Incidents,Group Working,Not Applicable,Unsafe Act,PPE,Behaviour,SIF,Topic 6,Low,First Aid
Shared Services,Employee,Wed,September,Road Incident,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Contractor,Fri,September,Road Incident,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Working at Height,Behaviour,SIF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Thu,September,Material Handling,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Tue,November,Material Handling,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 1,Low,First Aid
Engineering & Project,Employee,Sat,December,Process Incidents,Group Working,Not Applicable,Unsafe Act by Other,Others,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Employee,Fri,December,Road Incident,Single Working,M/C Idle,Unsafe Condition,Others,Behaviour,SNR,Topic 6,Medium,First Aid
Engineering & Project,Employee,Sat,December,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,Excavation,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Employee,Thu,January,Process Incidents,Single Working,M/C Working,Unsafe Act,Process Safety,Behaviour,SAF,Topic 4,High,First Aid
Engineering & Project,Employee,Sun,February,Road Incident,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Process,SINF,Topic 7,Low,First Aid
Engineering & Project,Employee,Wed,April,Road Incident,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 7,Low,First Aid
Engineering & Project,Employee,Tue,May,Dashing/Collision,Single Working,M/C Idle,Unsafe Act,Dismantling,Process,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Sat,May,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Others,Behaviour,SNNR,Topic 6,Medium,Medical case
Engineering & Project,Employee,Tue,June,Road Incident,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Employee,Tue,June,Road Incident,Single Working,M/C Working,Unsafe Act & Unsafe Condition,"Positive Isolations,Process Safety",Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Tue,June,Run Over,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Engineering & Project,Contractor,Fri,June,Lifting Tools Tackles,Group Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Shared Services,Employee,Fri,July,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,"Positive Isolations,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Sat,July,Process Incidents,Group Working,M/C Working,Unsafe Act by Other,Barricading,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Sat,July,Process Incidents,Group Working,Not Applicable,Unsafe Condition,Others,Behaviour,SNR,Topic 4,High,Medical case
Shared Services,Employee,Wed,August,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,"Positive Isolations,Process Safety",Behaviour,SNNR,Topic 3,Low,Medical case
Bearing Division,Employee,Thu,October,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,PPE,Process,SANF,Topic 3,Low,First Aid
Bearing Division,Employee,Thu,October,Road Incident,Single Working,M/C Working,Unsafe Act,PPE,Process,SANF,Topic 3,Low,First Aid
Others,Employee,Wed,December,Material Handling,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Contractor,Sun,January,Material Handling,Group Working,Not Applicable,Unsafe Condition,"Positive Isolations,Process Safety",Process,SAF,Topic 6,Medium,Medical case
Steel Manufacturing,Contractor,Fri,January,Material Handling,Single Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SNR,Topic 9,Medium,LTI
Raw Materials,Employee,Mon,February,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act by Other,Excavation,Behaviour,SINF,Topic 8,Low,Medical case
Steel Manufacturing,Employee,Wed,February,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Mines Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Tue,March,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act by Other,Excavation,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,March,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Fire Safety,Process,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Tue,April,Road Incident,Single Working,M/C Working,Unsafe Condition,Dismantling,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Tue,April,Material Handling,Group Working,Not Applicable,Unsafe Condition,Working at Height,Process,SANF,Topic 8,Low,First Aid
Engineering & Project,Employee,Sun,April,Dashing/Collision,Single Working,M/C Idle,Unsafe Condition,PPE,Process,SIF,Topic 6,Low,First Aid
Raw Materials,Employee,Sun,April,Road Incident,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SINF,Topic 7,Low,Medical case
Raw Materials,Employee,Wed,April,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Working at Height,Process,SNR,Topic 7,Low,First Aid
Steel Manufacturing,Employee,Fri,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Sat,May,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act,Work Permit System,Behaviour,SIF,Topic 1,High,First Aid
Raw Materials,Employee,Thu,May,Process Incidents,Group Working,M/C Working,Unsafe Act,Dismantling,Process,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Contractor,Wed,May,Material Handling,Group Working,M/C Working,Unsafe Act,Work Permit System,Behaviour,SINF,Topic 2,Low,First Aid
Raw Materials,Employee,Fri,June,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,"Positive Isolations,Process Safety",Behaviour,SNR,Topic 8,Low,First Aid
Engineering & Project,Contractor,Fri,July,Process Incidents,Group Working,Not Applicable,Unsafe Act by Other,Work Permit System,Behaviour,SINF,Topic 1,High,Medical case
Shared Services,Employee,Tue,July,Rail,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNR,Topic 3,Medium,Medical case
Raw Materials,Employee,Wed,August,Working at Height,Single Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 5,Low,First Aid
Engineering & Project,Employee,Tue,August,Road Incident,Single Working,Not Applicable,Unsafe Act by Other,Orderliness,Behaviour,SNNR,Topic 3,Low,First Aid
Raw Materials,Employee,Thu,September,Process Incidents,Single Working,M/C Working,Unsafe Act,Work Permit System,Process,SINF,Topic 2,Low,Medical case
Raw Materials,Contractor,Mon,September,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SINF,Topic 2,High,Medical case
Steel Manufacturing,Employee,Mon,November,Road Incident,Single Working,Not Applicable,Unsafe Condition,PPE,Behaviour,SIF,Topic 3,High,Medical case
Shared Services,Employee,Sat,December,Slip/Trip/Fall,Not Applicable,M/C Working,Unsafe Act by Other,Process Safety,Behaviour,SANF,Topic 3,Medium,Medical case
Shared Services,Contractor,Fri,December,Road Incident,Group Working,M/C Working,Unsafe Condition,Material Handling,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Contractor,Wed,December,Material Handling,Group Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SANF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Sat,December,Road Incident,Single Working,M/C Idle,Unsafe Act,Electrical Safety,Behaviour,SIF,Topic 3,Low,First Aid
Raw Materials,Employee,Sun,December,Skidding,Group Working,M/C Idle,Unsafe Act by Other,Material Handling,Behaviour,SNR,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Sat,December,Hot Metals,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Tools & Equipment,Process,SNR,Topic 2,Low,First Aid
Engineering & Project,Contractor,Sat,January,Lifting Tools Tackles,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SIF,Topic 1,High,Medical case
Engineering & Project,Contractor,Tue,February,Material Handling,Group Working,M/C Idle,Unsafe Condition,Material Handling,Behaviour,SIF,Topic 1,Low,First Aid
Shared Services,Employee,Sat,February,Material Handling,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SINF,Topic 6,High,Medical case
Shared Services,Employee,Mon,February,Material Handling,Not Applicable,M/C Working,Unsafe Act & Unsafe Condition,Dismantling,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Contractor,Sat,February,Road Incident,Group Working,Not Applicable,Unsafe Act,Work Permit System,Behaviour,SINF,Topic 6,High,LTI
Shared Services,Contractor,Fri,February,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SIF,Topic 7,High,First Aid
Engineering & Project,Contractor,Wed,February,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Working at Height,Behaviour,SANF,Topic 9,Low,First Aid
Engineering & Project,Contractor,Wed,February,Road Incident,Single Working,Not Applicable,Unsafe Act,Mines Safety,Behaviour,SNNR,Topic 3,High,First Aid
Engineering & Project,Contractor,Tue,March,Process Incidents,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SAF,Topic 3,High,First Aid
Engineering & Project,Employee,Mon,March,Material Handling,Group Working,M/C Idle,Unsafe Act by Other,Work Permit System,Behaviour,SINF,Topic 1,Low,Medical case
Engineering & Project,Contractor,Mon,March,Material Handling,Group Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SIF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Sun,March,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SINF,Topic 2,Low,First Aid
Engineering & Project,Employee,Thu,March,Skidding,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Engineering & Project,Contractor,Wed,March,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Medium,LTI
Shared Services,Contractor,Mon,April,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,PPE,Process,SINF,Topic 6,Low,First Aid
Engineering & Project,Employee,Wed,April,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act by Other,Orderliness,Behaviour,SAF,Topic 6,High,First Aid
Shared Services,Employee,Tue,April,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Condition,Material Handling,Behaviour,SAF,Topic 7,Low,First Aid
Shared Services,Contractor,Mon,April,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 6,Low,First Aid
Shared Services,Employee,Sat,April,Road Incident,Group Working,M/C Working,Unsafe Act,Work Permit System,Behaviour,SINF,Topic 6,High,First Aid
Shared Services,Contractor,Mon,April,Process Incidents,Group Working,M/C Idle,Unsafe Act,Excavation,Process,SANF,Topic 7,Low,First Aid
Engineering & Project,Contractor,Tue,May,Process Incidents,Single Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SNR,Topic 1,Low,First Aid
Shared Services,Contractor,Tue,May,Process Incidents,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SIF,Topic 9,High,First Aid
Shared Services,Employee,Mon,May,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Thu,May,Hot Metals,Group Working,Not Applicable,Unsafe Condition,Others,Behaviour,SAF,Topic 9,Low,First Aid
Shared Services,Employee,Wed,May,Material Handling,Single Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SAF,Topic 9,High,First Aid
Engineering & Project,Employee,Fri,May,Lifting Tools Tackles,Single Working,Not Applicable,Unsafe Condition,Others,Behaviour,SAF,Topic 9,Medium,Medical case
Engineering & Project,Contractor,Mon,May,Road Incident,Single Working,M/C Working,Unsafe Act,"Positive Isolations,Process Safety",Behaviour,SIF,Topic 3,High,Medical case
Raw Materials,Contractor,Mon,May,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Work Permit System,Behaviour,SANF,Topic 1,Medium,Medical case
Shared Services,Contractor,Sun,May,Material Handling,Group Working,M/C Idle,Unsafe Condition,Barricading,Behaviour,SIF,Topic 1,Low,First Aid
Orissa Projects,Contractor,Fri,May,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 4,Low,First Aid
Shared Services,Employee,Wed,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Tue,May,Process Incidents,Single Working,M/C Idle,Unsafe Act by Other,Others,Behaviour,SAF,Topic 6,Medium,First Aid
Steel Manufacturing,Employee,Mon,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Excavation,Behaviour,SANF,Topic 3,Low,First Aid
Engineering & Project,Employee,Mon,May,Road Incident,Group Working,Not Applicable,Unsafe Act,Work Permit System,Behaviour,SAF,Topic 9,High,First Aid
Raw Materials,Employee,Fri,June,Dashing/Collision,Single Working,Not Applicable,Unsafe Act by Other,Orderliness,Behaviour,SNNR,Topic 8,Medium,Medical case
Shared Services,Employee,Thu,June,Road Incident,Single Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 3,High,First Aid
Engineering & Project,Contractor,Wed,June,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Working at Height,Behaviour,SINF,Topic 1,Low,First Aid
Engineering & Project,Contractor,Sat,July,Material Handling,Single Working,M/C Idle,Unsafe Act,Work Permit System,Behaviour,SANF,Topic 6,High,First Aid
Steel Manufacturing,Employee,Thu,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,PPE,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Employee,Mon,July,Structural Integrity,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Contractor,Wed,July,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Working at Height,Process,SINF,Topic 7,Low,First Aid
Engineering & Project,Contractor,Mon,July,Process Incidents,Group Working,Not Applicable,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 1,Medium,First Aid
Shared Services,Employee,Fri,August,Material Handling,Single Working,M/C Idle,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 5,Low,First Aid
Engineering & Project,Contractor,Sat,August,Material Handling,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SINF,Topic 6,High,Medical case
Orissa Projects,Contractor,Thu,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Work Permit System,Process,SNR,Topic 6,Medium,First Aid
Shared Services,Employee,Thu,August,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SNNR,Topic 3,High,First Aid
Shared Services,Employee,Tue,August,Material Handling,Single Working,M/C Working,Unsafe Act,Others,Process,SAF,Topic 7,High,First Aid
Shared Services,Employee,Sat,August,Road Incident,Single Working,M/C Idle,Unsafe Condition,Others,Behaviour,SNNR,Topic 2,Low,First Aid
Engineering & Project,Employee,Fri,August,Process Incidents,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Shared Services,Employee,Sat,September,Medical Ailment,Group Working,M/C Idle,Unsafe Condition,Work Permit System,Behaviour,SINF,Topic 4,Low,First Aid
Engineering & Project,Employee,Tue,September,Material Handling,Not Applicable,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 9,Low,Medical case
Shared Services,Employee,Mon,September,Process Incidents,Group Working,M/C Idle,Unsafe Act by Other,PPE,Behaviour,SANF,Topic 9,Low,First Aid
Shared Services,Employee,Fri,September,Road Incident,Not Applicable,Not Applicable,Unsafe Act by Other,Orderliness,Behaviour,SANF,Topic 3,Low,Medical case
Orissa Projects,Contractor,Wed,September,Road Incident,Group Working,M/C Working,Unsafe Act,Excavation,Behaviour,SNNR,Topic 1,Low,Medical case
Shared Services,Employee,Mon,September,Road Incident,Single Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SNR,Topic 3,High,First Aid
Shared Services,Employee,Tue,September,Material Handling,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 4,Low,First Aid
Shared Services,Employee,Tue,October,Process Incidents,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Contractor,Mon,October,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SANF,Topic 1,Low,LTI
Steel Manufacturing,Employee,Fri,November,Hydraulic/Pneumatic,Not Applicable,Not Applicable,Unsafe Condition,Barricading,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Thu,November,Run Over,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Steel Manufacturing,Employee,Thu,November,Road Incident,Not Applicable,Not Applicable,Unsafe Condition,Tools & Equipment,Behaviour,SIF,Topic 3,Low,Medical case
Engineering & Project,Employee,Mon,December,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Confine Space,Behaviour,SNNR,Topic 3,High,First Aid
Shared Services,Contractor,Tue,December,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,"Positive Isolations,Process Safety",Process,SIF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Mon,December,Material Handling,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Orderliness,Behaviour,SANF,Topic 2,Low,First Aid
Steel Manufacturing,Employee,Sat,December,Dashing/Collision,Single Working,M/C Working,Unsafe Act by Other,Fire Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Raw Materials,Employee,Sun,January,Dashing/Collision,Single Working,Not Applicable,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Fri,January,Material Handling,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Barricading,Behaviour,SIF,Topic 8,Low,First Aid
Raw Materials,Employee,Thu,January,Road Incident,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SIF,Topic 4,Low,First Aid
Raw Materials,Employee,Wed,January,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SIF,Topic 7,Low,First Aid
Raw Materials,Employee,Mon,January,Road Incident,Group Working,M/C Working,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Wed,January,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Fri,January,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Process Safety,Behaviour,SINF,Topic 4,Low,Medical case
Engineering & Project,Contractor,Sun,January,Hydraulic/Pneumatic,Group Working,Not Applicable,Unsafe Condition,Dismantling,Behaviour,SANF,Topic 9,Low,First Aid
Raw Materials,Employee,Tue,January,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Sat,February,Occupational Illness,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SINF,Topic 8,Medium,First Aid
Raw Materials,Employee,Sat,February,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Tue,February,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Barricading,Process,SAF,Topic 8,Low,First Aid
Raw Materials,Employee,Thu,February,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SINF,Topic 9,Low,LTI
Raw Materials,Employee,Mon,March,Material Handling,Group Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,March,Road Incident,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Wed,March,Road Incident,Group Working,Not Applicable,Unsafe Condition,Others,Behaviour,SNR,Topic 8,Low,First Aid
Raw Materials,Employee,Wed,March,Material Handling,Group Working,Not Applicable,Unsafe Condition,Others,Behaviour,SNR,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,March,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Mines Safety,Behaviour,SINF,Topic 4,Low,Medical case
Raw Materials,Employee,Thu,March,Process Incidents,Single Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Thu,March,Material Handling,Single Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Shared Services,Employee,Sat,April,Material Handling,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Raw Materials,Employee,Tue,April,Road Incident,Group Working,Not Applicable,Unsafe Act,Work Permit System,Behaviour,SINF,Topic 8,High,First Aid
Raw Materials,Employee,Sat,April,Process Incidents,Group Working,M/C Working,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Thu,April,Road Incident,Group Working,M/C Working,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,April,Process Incidents,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Others,Behaviour,SNR,Topic 8,Low,First Aid
Raw Materials,Employee,Tue,May,Material Handling,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 8,High,First Aid
Raw Materials,Employee,Fri,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Sun,May,Road Incident,Group Working,M/C Working,Unsafe Act,Excavation,Process,SANF,Topic 7,Low,First Aid
Others,Contractor,Sat,June,Process Incidents,Single Working,Not Applicable,Unsafe Condition,Confine Space,Behaviour,SAF,Topic 1,High,LTI
Raw Materials,Employee,Fri,June,Material Handling,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Tue,July,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,Dismantling,Behaviour,SINF,Topic 9,Low,First Aid
Raw Materials,Employee,Thu,July,Process Incidents,Group Working,Not Applicable,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 3,Low,First Aid
Raw Materials,Employee,Wed,July,Process Incidents,Group Working,M/C Working,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Tue,July,Process Incidents,Group Working,Not Applicable,Unsafe Condition,Barricading,Behaviour,SNNR,Topic 8,Low,First Aid
Raw Materials,Employee,Sat,August,Material Handling,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SIF,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,August,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Mines Safety,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Thu,September,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SAF,Topic 8,Low,Medical case
Raw Materials,Contractor,Thu,September,Process Incidents,Single Working,M/C Working,Unsafe Act,Excavation,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Thu,September,Process Incidents,Group Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Thu,October,Process Incidents,Group Working,Not Applicable,Unsafe Condition,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Shared Services,Employee,Tue,October,Material Handling,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Contractor,Mon,October,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Others,Process,SINF,Topic 5,Low,Medical case
Raw Materials,Employee,Thu,October,Equipment Machinery Damage,Group Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Mon,November,Material Handling,Group Working,M/C Working,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 8,Low,First Aid
Engineering & Project,Contractor,Mon,January,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Work Permit System,Behaviour,SIF,Topic 9,High,Medical case
Engineering & Project,Contractor,Thu,January,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SIF,Topic 1,High,Medical case
Engineering & Project,Contractor,Thu,January,Material Handling,Group Working,M/C Idle,Unsafe Act,Work Permit System,Behaviour,SAF,Topic 1,Low,Medical case
